antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'P00003442'}),frozenset({'P00000142'}),0.17396791058229674,0.20695871642329186,0.06688299981972237,0.38445595854922276,1.8576456464046505,1.0,0.030878824346768224,1.2883583142281536,0.5589179974139991,0.21297359357060852,0.2238184137468831,0.3538133451282699
frozenset({'P00000142'}),frozenset({'P00003442'}),0.20695871642329186,0.17396791058229674,0.06688299981972237,0.3231707317073171,1.8576456464046507,1.0,0.030878824346768224,1.2204438077883184,0.5821691893955316,0.21297359357060852,0.18062593818867043,0.3538133451282699
frozenset({'P00000142'}),frozenset({'P00010742'}),0.20695871642329186,0.24319451956012259,0.0629168920137011,0.304006968641115,1.2500568236117604,1.0,0.01258566640435898,1.0873750832853306,0.2522395360758599,0.16247672253258846,0.0803541341239316,0.28135856215599114
frozenset({'P00000142'}),frozenset({'P00025442'}),0.20695871642329186,0.29060753560483144,0.07787993510005409,0.37630662020905925,1.2948962917491635,1.0,0.01773617254834209,1.1374057948682312,0.2871696429323164,0.18556701030927836,0.12080630808123295,0.32214834732537334
frozenset({'P00028842'}),frozenset({'P00000142'}),0.2156120425455201,0.20695871642329186,0.06508022354425816,0.30183946488294316,1.4584525363289946,1.0,0.020457431973633124,1.1359010480931053,0.4007478142064327,0.18204740292486135,0.11964162575714613,0.30814969759826605
frozenset({'P00000142'}),frozenset({'P00028842'}),0.20695871642329186,0.2156120425455201,0.06508022354425816,0.3144599303135889,1.4584525363289946,1.0,0.020457431973633124,1.144189803249991,0.3963750260541461,0.18204740292486135,0.12601912972867788,0.30814969759826605
frozenset({'P00031042'}),frozenset({'P00000142'}),0.21633315305570577,0.20695871642329186,0.06724355507481522,0.31083333333333335,1.501909843205575,1.0,0.02247152339860281,1.150724958031499,0.426432577149444,0.1888607594936709,0.13098260968401912,0.3178731126596981
frozenset({'P00000142'}),frozenset({'P00031042'}),0.20695871642329186,0.21633315305570577,0.06724355507481522,0.32491289198606277,1.5019098432055753,1.0,0.02247152339860281,1.1608381165058708,0.42139177378236714,0.1888607594936709,0.1385534418786957,0.3178731126596981
frozenset({'P00000142'}),frozenset({'P00034742'}),0.20695871642329186,0.2172345411934379,0.07391382729403281,0.35714285714285715,1.6440426793123888,1.0,0.02895524548583618,1.2176351581435412,0.4939759036144578,0.21101389603705611,0.17873593472395866,0.3486959098992294
frozenset({'P00034742'}),frozenset({'P00000142'}),0.2172345411934379,0.20695871642329186,0.07391382729403281,0.34024896265560167,1.644042679312389,1.0,0.02895524548583618,1.202031127937023,0.5004606172270842,0.21101389603705611,0.16807478878168278,0.3486959098992294
frozenset({'P00044442'}),frozenset({'P00000142'}),0.20010816657652786,0.20695871642329186,0.06021272760050478,0.3009009009009009,1.4539175063565306,1.0,0.018798598300008303,1.1343760628481263,0.39030660787957566,0.17359667359667358,0.11845812623262042,0.29592083372571176
frozenset({'P00000142'}),frozenset({'P00046742'}),0.20695871642329186,0.25797728501892914,0.06940688660537227,0.33536585365853655,1.2999821035946209,1.0,0.01601623883148897,1.1164378463935378,0.290979354812044,0.1754785779398359,0.10429406954419396,0.30220424059586504
frozenset({'P00000142'}),frozenset({'P00057642'}),0.20695871642329186,0.2650081124932396,0.0704885523706508,0.3405923344947735,1.285214747920074,1.0,0.015642813567290602,1.1146244212123657,0.27983400086860016,0.17557251908396945,0.10283681124417675,0.3032893645262983
frozenset({'P00000142'}),frozenset({'P00058042'}),0.20695871642329186,0.25491256535064,0.07319271678384713,0.3536585365853659,1.3873719253458447,1.0,0.020436339458710172,1.1527767856839157,0.35207845043152447,0.18831168831168832,0.13252937392669356,0.32039362472832655
frozenset({'P00000142'}),frozenset({'P00059442'}),0.20695871642329186,0.2529295114476294,0.06634216693708311,0.32055749128919864,1.2673787627806021,1.0,0.013996199902311435,1.0995345139206687,0.2660263696294613,0.168575355016033,0.09052422880820093,0.2914262866282059
frozenset({'P00073842'}),frozenset({'P00000142'}),0.16837930412835767,0.20695871642329186,0.0511988462231837,0.30406852248394006,1.46922307858747,1.0,0.01635128156853171,1.1395393213240699,0.38403104514797437,0.15795328142380421,0.12245239695803946,0.2757276410329108
frozenset({'P00085942'}),frozenset({'P00000142'}),0.17324680007211105,0.20695871642329186,0.057688840814854876,0.33298647242455776,1.6089511868806812,1.0,0.02183390544748811,1.1889433284199944,0.457787287396424,0.17887087758524314,0.1589170180811598,0.30586605851193044
frozenset({'P00000142'}),frozenset({'P00102642'}),0.20695871642329186,0.2230034252749234,0.06616188930953669,0.3196864111498258,1.4335493311625576,1.0,0.020009386656641065,1.1421153236675905,0.381355559506031,0.1818632309217047,0.1244316757884185,0.3081859703283486
frozenset({'P00000142'}),frozenset({'P00110742'}),0.20695871642329186,0.28970614746709933,0.08004326663061113,0.3867595818815331,1.335006472120015,1.0,0.02008605421088335,1.1582632708917187,0.31642736166491564,0.19212462137602765,0.13663842657280814,0.3315254038841393
frozenset({'P00000142'}),frozenset({'P00110842'}),0.20695871642329186,0.22949341986659455,0.06688299981972237,0.3231707317073171,1.4081917115321978,1.0,0.019387336216540374,1.1384061183953018,0.36551617648951096,0.18097560975609753,0.12157886026684321,0.3073041404019696
frozenset({'P00000142'}),frozenset({'P00110942'}),0.20695871642329186,0.2448170182080404,0.06562105642689742,0.3170731707317073,1.2951435037178058,1.0,0.014954040579983709,1.1058036519096552,0.2873555178624513,0.1699346405228758,0.09568032419402732,0.2925572039225547
frozenset({'P00000142'}),frozenset({'P00112142'}),0.20695871642329186,0.27997115557959257,0.06850549846764016,0.3310104529616725,1.1823019849184786,1.0,0.010563027473341938,1.0762931163992548,0.1944317488424403,0.16372253339077983,0.07088507325448103,0.28784907709255547
frozenset({'P00112442'}),frozenset({'P00000142'}),0.16639625022534704,0.20695871642329186,0.05065801334054444,0.30444203683640303,1.471027855689484,1.0,0.016220858976257732,1.140151253491124,0.3841192170818507,0.15698324022346372,0.12292338675415496,0.27460777800008307
frozenset({'P00116842'}),frozenset({'P00000142'}),0.1761312421128538,0.20695871642329186,0.05588606453939066,0.3172978505629478,1.5331456246277626,1.0,0.019434168749674394,1.1616211904864224,0.42208936260323293,0.17079889807162532,0.13913416164416265,0.29366634688426135
frozenset({'P00000142'}),frozenset({'P00117442'}),0.20695871642329186,0.22606814494321253,0.0822065981611682,0.397212543554007,1.7570478302185621,1.0,0.03541982505952623,1.2839216323774454,0.5433052966583315,0.23432682425488183,0.22113626347404536,0.3804244535951853
frozenset({'P00117442'}),frozenset({'P00000142'}),0.22606814494321253,0.20695871642329186,0.0822065981611682,0.36363636363636365,1.7570478302185621,1.0,0.03541982505952623,1.246207731334827,0.5567202422548335,0.23432682425488183,0.19756556242121145,0.3804244535951853
frozenset({'P00000142'}),frozenset({'P00117942'}),0.20695871642329186,0.24427618532540113,0.07084910762574365,0.3423344947735192,1.4014239428108566,1.0,0.020294021858020463,1.1491005817833635,0.36119185079653193,0.18625592417061612,0.12975416090379555,0.31618569757126147
frozenset({'P00000142'}),frozenset({'P00145042'}),0.20695871642329186,0.2527492338200829,0.07661799170722913,0.3702090592334495,1.464728710105524,1.0,0.024309334698854303,1.1865060575028281,0.4000796972573981,0.20000000000000004,0.15718930074015547,0.33667371649261635
